Year,Tournament Name,Sport,Host Country,Host City,Duration (days),Total Attendees,International Visitors,Domestic Visitors,Tourism Revenue (USD),Average Spend per Visitor (USD),Accommodation,Occupancy Rate (%),Transportation Revenue (USD),Local Business Revenue (USD),Employment Increase (%),Government Investment (USD)
2023,FIFA World Cup,Soccer,Qatar,Doha,30,2000000,1500000,500000,3500000000,1750,95,500000000,1500000000,10,800000000
2022,Wimbledon,Tennis,United Kingdom,London,14,500000,300000,200000,120000000,240,98,20000000,50000000,5,50000000
2021,Tour de France,Cycling,France,Paris,21,1200000,400000,800000,800000000,667,90,100000000,300000000,8,200000000
2020,Summer Olympics,Various,Japan,Tokyo,16,6000000,4000000,2000000,8000000000,1333,97,1200000000,3500000000,15,1500000000
2019,Super Bowl,American Football,USA,Miami,1,70000,20000,50000,50000000,714,85,5000000,10000000,2,10000000
2018,FIFA World Cup,Soccer,Russia,Moscow,30,3000000,2200000,800000,4000000000,1333,92,700000000,1800000000,12,1200000000
2017,Wimbledon,Tennis,United Kingdom,London,14,450000,280000,170000,110000000,244,96,19000000,47000000,5,45000000
2016,Summer Olympics,Various,Brazil,Rio de Janeiro,16,5600000,3800000,1800000,7200000000,1286,94,1100000000,3200000000,14,1400000000
2015,Cricket World Cup,Cricket,Australia,Melbourne,44,1000000,600000,400000,900000000,900,87,120000000,400000000,6,300000000
2014,FIFA World Cup,Soccer,Brazil,Rio de Janeiro,30,3200000,2400000,800000,5000000000,1563,90,850000000,2000000000,13,1300000000
2013,Tour de France,Cycling,France,Paris,21,1100000,350000,750000,750000000,682,88,95000000,280000000,7,180000000
2012,Summer Olympics,Various,United Kingdom,London,16,5900000,4100000,1800000,7700000000,1305,97,1250000000,3400000000,16,1500000000
2011,Rugby World Cup,Rugby,New Zealand,Auckland,45,1500000,800000,700000,1000000000,667,85,130000000,450000000,7,300000000
2010,FIFA World Cup,Soccer,South Africa,Johannesburg,30,3100000,2200000,900000,4000000000,1290,89,750000000,1800000000,11,1000000000
2009,Super Bowl,American Football,USA,Tampa,1,70000,15000,55000,45000000,643,80,4500000,9000000,1.5,8000000
2008,Summer Olympics,Various,China,Beijing,16,5800000,4200000,1600000,7500000000,1293,96,1200000000,3300000000,15,1400000000
2007,Cricket World Cup,Cricket,West Indies,Bridgetown,46,800000,500000,300000,750000000,938,85,100000000,350000000,5,250000000
2006,FIFA World Cup,Soccer,Germany,Berlin,30,3300000,2500000,800000,5500000000,1667,94,900000000,2200000000,14,1300000000
2005,Tour de France,Cycling,France,Paris,21,1000000,300000,700000,700000000,700,86,85000000,250000000,6,160000000
2004,Summer Olympics,Various,Greece,Athens,16,5200000,3700000,1500000,6500000000,1250,90,1100000000,3000000000,14,1400000000
2003,Rugby World Cup,Rugby,Australia,Sydney,44,1500000,900000,600000,1200000000,800,85,140000000,500000000,7,280000000
2002,FIFA World Cup,Soccer,South Korea & Japan,Seoul & Tokyo,30,2700000,1900000,800000,4800000000,1778,89,800000000,2000000000,12,1200000000
2001,Super Bowl,American Football,USA,Tampa,1,65000,10000,55000,40000000,615,78,4000000,8000000,1.5,7000000
2000,Summer Olympics,Various,Australia,Sydney,16,6000000,4200000,1800000,7000000000,1167,95,1150000000,3200000000,14,1500000000
